
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2026-09-11 11:19:09 /storage/menu-items/thumbnails/hello_salmon.webp ..................................... ~ 0.10ms
  2026-09-11 11:19:09 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:19:09 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:19:10 /storage/menu-items/thumbnails/comoda_bqq_platter.webp ............................. ~ 515.14ms
  2026-09-11 11:19:11 /storage/menu-items/thumbnails/shrimp_shady.webp ..................................... ~ 1.27ms
  2026-09-11 11:19:11 /storage/menu-items/thumbnails/tender_timbers.webp ................................... ~ 2.54ms
  2026-09-11 11:19:11 /storage/menu-items/thumbnails/coconut_smoothe.webp .................................. ~ 3.79ms
  2026-09-11 11:19:11 /storage/menu-items/thumbnails/snowflake_cheese_shrimp.webp .......................... ~ 5.01ms
  2026-09-11 11:19:11 /storage/menu-items/thumbnails/cookiees_cream_smnoothe.webp .......................... ~ 4.66ms
  2026-09-11 11:19:11 /storage/menu-items/thumbnails/comoda_bqq_platter.webp ............................... ~ 3.35ms
  2026-09-11 11:19:11 /storage/menu-items/thumbnails/snowflake_cheese_shrimp.webp .......................... ~ 3.78ms
  2026-09-11 11:19:12 /storage/menu-items/thumbnails/cucumber_smoothe.webp ................................. ~ 0.18ms
  2026-09-11 11:19:12 /storage/menu-items/thumbnails/tender_timbers.webp ................................... ~ 1.38ms
  2026-09-11 11:19:12 /storage/menu-items/thumbnails/cookiees_cream_smnoothe.webp ........................ ~ 561.68ms
  2026-09-11 11:19:12 /storage/menu-items/thumbnails/mango_smoothe.webp .................................. ~ 613.95ms
  2026-09-11 11:19:12 /storage/menu-items/thumbnails/strawberry_smoothe.webp .............................. ~ 14.88ms
  2026-09-11 11:19:12 /storage/menu-items/thumbnails/comoda_streak_frites.webp ............................ ~ 37.39ms
  2026-09-11 11:19:12 /storage/menu-items/thumbnails/watermelon_smoothe.webp .............................. ~ 62.46ms
  2026-09-11 11:19:13 /storage/menu-items/thumbnails/mango_smoothe.webp .................................... ~ 0.31ms
  2026-09-11 11:19:13 /storage/menu-items/thumbnails/cucumber_smoothe.webp ................................ ~ 31.85ms
  2026-09-11 11:19:13 /storage/menu-items/thumbnails/tender_timbers.webp .................................. ~ 33.01ms
  2026-09-11 11:19:13 /storage/menu-items/thumbnails/comoda_streak_frites.webp ............................. ~ 0.19ms
  2026-09-11 11:19:13 /storage/menu-items/thumbnails/watermelon_smoothe.webp ............................... ~ 1.22ms
  2026-09-11 11:19:13 /storage/menu-items/thumbnails/watermelon_smoothe.webp ............................... ~ 5.07ms
  2026-09-11 11:19:13 /storage/menu-items/thumbnails/comoda_streak_frites.webp ............................. ~ 6.12ms
  2026-09-11 11:19:13 /api/menu ............................................................................ ~ 0.10ms
  2026-09-11 11:19:19 /api/menu ............................................................................ ~ 4.37ms
  2026-09-11 11:19:19 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:19:19 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:19:24 /api/menu ............................................................................ ~ 2.71ms
  2026-09-11 11:19:29 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:19:29 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:19:31 /api/menu ................................................................................ ~ 1s
  2026-09-11 11:19:37 /api/menu ............................................................................ ~ 2.89ms
  2026-09-11 11:19:39 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:19:39 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:19:43 /api/menu ............................................................................ ~ 2.80ms
  2026-09-11 11:19:49 /api/menu ............................................................................ ~ 3.44ms
  2026-09-11 11:19:49 /api/qr/table-links ................................................................ ~ 516.80ms
  2026-09-11 11:19:49 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:19:54 /api/notifications ................................................................. ~ 549.06ms
  2026-09-11 11:19:56 /api/menu ............................................................................ ~ 2.66ms
  2026-09-11 11:19:59 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:19:59 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:20:02 /api/menu .......................................................................... ~ 513.93ms
  2026-09-11 11:20:08 /api/menu ............................................................................ ~ 0.33ms
  2026-09-11 11:20:09 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:20:09 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:20:14 /api/menu ............................................................................ ~ 2.59ms
  2026-09-11 11:20:17 /api/notifications ................................................................. ~ 508.44ms
  2026-09-11 11:20:19 /api/menu .......................................................................... ~ 513.01ms
  2026-09-11 11:20:20 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:20:20 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:20:25 /api/menu ............................................................................ ~ 0.75ms
  2026-09-11 11:20:30 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:20:30 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:20:31 /api/menu ................................................................................ ~ 1s
  2026-09-11 11:20:38 /api/menu ............................................................................ ~ 3.10ms
  2026-09-11 11:20:40 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:20:41 /api/server-info ................................................................... ~ 511.19ms
  2026-09-11 11:20:44 /api/menu .......................................................................... ~ 513.90ms
  2026-09-11 11:20:49 /api/menu ............................................................................ ~ 2.67ms
  2026-09-11 11:20:50 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:20:51 /api/server-info ................................................................... ~ 510.12ms
  2026-09-11 11:20:55 /api/menu ............................................................................ ~ 0.45ms
  2026-09-11 11:20:55 /api/notifications ................................................................. ~ 519.04ms
  2026-09-11 11:21:00 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:21:00 /api/server-info ......................................................................... ~ 2s
  2026-09-11 11:21:01 /api/menu ................................................................................ ~ 1s
  2026-09-11 11:21:08 /api/menu .......................................................................... ~ 517.87ms
  2026-09-11 11:21:10 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:21:11 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:21:13 /api/menu ............................................................................ ~ 5.92ms
  2026-09-11 11:21:19 /api/menu ............................................................................ ~ 8.52ms
  2026-09-11 11:21:25 /api/menu ............................................................................ ~ 2.81ms
  2026-09-11 11:21:30 /api/menu .......................................................................... ~ 506.02ms
  2026-09-11 11:21:36 /api/menu .......................................................................... ~ 517.97ms
  2026-09-11 11:21:42 /api/menu .......................................................................... ~ 508.13ms
  2026-09-11 11:21:42 /api/qr/table-links ...................................................................... ~ 1s
  2026-09-11 11:21:43 /api/server-info ......................................................................... ~ 1s
  2026-09-11 11:21:47 /api/menu ............................................................................ ~ 2.89ms
  2026-09-11 11:21:53 /api/menu .......................................................................... ~ 522.74ms
  2026-09-11 11:21:58 /api/menu ............................................................................ ~ 2.64ms
